,ds,y
0,2007-01-01,3
1,2007-02-01,1
2,2007-03-01,10
3,2007-04-01,5
4,2007-05-01,1
5,2007-06-01,6
6,2007-07-01,8
7,2007-08-01,11
8,2007-09-01,21
9,2007-10-01,16
10,2007-11-01,15
11,2007-12-01,6
12,2008-01-01,41
13,2008-02-01,42
14,2008-03-01,60
15,2008-04-01,48
16,2008-05-01,48
17,2008-06-01,43
18,2008-07-01,46
19,2008-08-01,25
20,2008-09-01,37
21,2008-10-01,38
22,2008-11-01,36
23,2008-12-01,17
24,2009-01-01,28
25,2009-02-01,25
26,2009-03-01,26
27,2009-04-01,29
28,2009-05-01,32
29,2009-06-01,34
30,2009-07-01,26
31,2009-08-01,25
32,2009-09-01,32
33,2009-10-01,20
34,2009-11-01,20
35,2009-12-01,21
36,2010-01-01,36
37,2010-02-01,29
38,2010-03-01,47
39,2010-04-01,40
40,2010-05-01,33
41,2010-06-01,40
42,2010-07-01,26
43,2010-08-01,31
44,2010-09-01,40
45,2010-10-01,39
46,2010-11-01,24
47,2010-12-01,32
48,2011-01-01,52
49,2011-02-01,38
50,2011-03-01,41
51,2011-04-01,55
52,2011-05-01,49
53,2011-06-01,59
54,2011-07-01,62
55,2011-08-01,53
56,2011-09-01,56
57,2011-10-01,47
58,2011-11-01,61
59,2011-12-01,46
60,2012-01-01,36
61,2012-02-01,41
62,2012-03-01,99
63,2012-04-01,75
64,2012-05-01,59
65,2012-06-01,43
66,2012-07-01,57
67,2012-08-01,56
68,2012-09-01,53
69,2012-10-01,62
70,2012-11-01,46
71,2012-12-01,49
72,2013-01-01,66
73,2013-02-01,67
74,2013-03-01,142
75,2013-04-01,60
76,2013-05-01,68
77,2013-06-01,54
78,2013-07-01,78
79,2013-08-01,67
80,2013-09-01,68
81,2013-10-01,61
82,2013-11-01,67
83,2013-12-01,57
84,2014-01-01,83
85,2014-02-01,139
86,2014-03-01,122
87,2014-04-01,120
88,2014-05-01,77
89,2014-06-01,96
90,2014-07-01,90
91,2014-08-01,72
92,2014-09-01,96
93,2014-10-01,98
94,2014-11-01,53
95,2014-12-01,66
96,2015-01-01,110
97,2015-02-01,114
98,2015-03-01,155
99,2015-04-01,105
100,2015-05-01,109
101,2015-06-01,94
102,2015-07-01,103
103,2015-08-01,93
104,2015-09-01,90
105,2015-10-01,117
106,2015-11-01,70
107,2015-12-01,80
108,2016-01-01,143
109,2016-02-01,127
110,2016-03-01,139
111,2016-04-01,109
112,2016-05-01,85
113,2016-06-01,107
114,2016-07-01,93
115,2016-08-01,92
116,2016-09-01,80
117,2016-10-01,76
118,2016-11-01,70
119,2016-12-01,84
120,2017-01-01,99
121,2017-02-01,135
122,2017-03-01,109
123,2017-04-01,53
124,2017-05-01,72
125,2017-06-01,94
126,2017-07-01,70
127,2017-08-01,61
128,2017-09-01,60
129,2017-10-01,75
130,2017-11-01,78
131,2017-12-01,72
132,2018-01-01,120
133,2018-02-01,96
134,2018-03-01,113
135,2018-04-01,56
136,2018-05-01,82
137,2018-06-01,86
138,2018-07-01,103
139,2018-08-01,59
140,2018-09-01,78
141,2018-10-01,90
142,2018-11-01,65
143,2018-12-01,72
144,2019-01-01,128
145,2019-02-01,120
146,2019-03-01,113
147,2019-04-01,83
148,2019-05-01,108
149,2019-06-01,103
150,2019-07-01,84
151,2019-08-01,137
152,2019-09-01,97
153,2019-10-01,97
